,Text,Cluster
1335568906937896960,"RT @9NEWSNANCY: 🤬@SpeakerPelosi has a LOT of deaths, depression, child abuse, divorces, substance abuse deaths, murders, domestic abuse, de…",2
1335568907059466241,The Canadian strikes again https://t.co/Wj2i8LgzjI,2
1335568907059535874,Call your legislators! #FightForTrump https://t.co/GKJcz5dBZK,0
1335568907139231744,RT @BernardKerik: These are the four cowardice Pennsylvania legislators that intend to allow the Democrat machine to #StealtheVote! #Coward…,2
1335568907311132674,RT @realDonaldTrump: The answer to the Democrat voter fraud is not to stay at home - that’s what Pelosi and Schumer want you to do. If you…,0
1335568907311206400,@SoCal_For_Life @DanScavino That’s disgusting... Trump is the furthest piece of shit from Kennedy that you can get.,0
1335568907411869698,"RT @smalltownandrew: Donald Trump Demands Voter ID at Georgia Rally [Video] 

Thank you @realDonaldTrump for saying this!

This is an outra…",0
1335568907516559360,"I vote #AshishSharma  for Modi 2
The journey of a comman man
#TVPersonalityWithRajBaddhan @RajBaddhan @SabrasRadio @BizAsia 31",1
1335568907655020551,RT @realRyanPence: Umm is that who I think it is the senator from Georgia? The democrat👀 https://t.co/oplSutSlER,2
1335568907697053697,@BernardKerik @realDonaldTrump @JoeBiden Everyone backing the slime criminals,0
1335568907894214656,"RT @LLinWood: Any honest Democratic officials left in GA? Any honest Republican officials in GA?

I believe that @DavidShafer has integrity…",0
1335568908187734018,RT @RepKinzinger: Denouncing conspiracy theories and advocating for truth should not be a political or partisan approach. It should be the…,2
1335568908254769153,"RT @jaehyunbom__: JAEHYUN SAID TO VOTE!!

#MAMAVOTE #nct",2
1335568908443586560,RT @hrtablaze: Georgia Democrat Senator admitted back in June that Dominion Machines are hackable!!!! Also goes on to explain how Republica…,2
1335568908468834305,"RT @GenFlynn: Hey RINOs and other Quasi Republicans (local, state, &amp; federal), you need to stand up &amp; #FightForTrump 

This is only a taste…",0
1335568908481335297,"RT @mmpadellan: trump just told his Valdosta crowd we're ""rounding the turn"" on COVID-19 again -- a day after we lost another 3,000 people.…",0
